ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Sales,year,month
10107,30,95.7,2,4.6159972346636106e+27,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,nan,NYC,NY,10022,USA,nan,Yu,Kwai,Small,67941130654881.0,2005,January
10121,34,81.35,5,3.42524621050879e+27,5/7/2003 0:00,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,nan,Reims,nan,51100,France,EMEA,Henriot,Paul,Small,58525603034131.91,2008,January
10134,41,94.74,2,5.182483128078599e+28,7/1/2003 0:00,Shipped,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,nan,Paris,nan,75508,France,EMEA,Da Cunha,Daniel,Medium,227650678190920.38,2010,January
10145,45,83.26,6,3.8832143386403976e+28,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,nan,Pasadena,CA,90003,USA,nan,Young,Julie,Medium,197058730804813.56,2011,January
10159,49,100.0,14,5.389470412553606e+29,10/10/2003 0:00,Shipped,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,nan,San Francisco,CA,nan,USA,nan,Brown,Julie,Medium,734130125560421.8,2013,January
10168,36,96.66,1,2.149781556072701e+28,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,nan,Burlingame,CA,94217,USA,nan,Hirano,Juri,Medium,146621333920841.88,2013,January
10180,29,86.13,9,1.515024168230096e+27,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",nan,Lille,nan,59000,France,EMEA,Rance,Martine,Small,38923311372879.055,2014,January
10188,48,100.0,1,8.524626692363573e+29,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",nan,Bergen,nan,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,923289049667739.4,2014,January
10201,22,98.57,2,4.890345006331947e+26,12/1/2003 0:00,Shipped,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,nan,San Francisco,CA,nan,USA,nan,Murphy,Julie,Small,22114124460018.64,2015,January
10211,41,100.0,14,2.415551629008452e+29,1/15/2004 0:00,Shipped,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",nan,Paris,nan,75016,France,EMEA,Perrier,Dominique,Medium,491482617089195.94,2005,January
10223,37,100.0,1,6.116793429912795e+28,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,247321520088988.5,2006,January
10237,23,100.0,7,8.780042385133593e+26,4/5/2004 0:00,Shipped,2,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,nan,Frick,Michael,Small,29631136301420.492,2008,January
10251,28,100.0,2,1.0686707397133987e+28,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,nan,Newark,NJ,94019,USA,nan,Brown,William,Medium,103376532139233.55,2009,January
10263,34,100.0,2,3.3398138260347617e+28,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,nan,Bridgewater,CT,97562,USA,nan,King,Julie,Medium,182751575260919.75,2010,January
10275,45,92.83,1,9.272715043288712e+28,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",nan,Nantes,nan,44000,France,EMEA,Labrune,Janine,Medium,304511330549270.56,2011,January
10285,36,100.0,6,7.979940881446959e+28,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,nan,Cambridge,MA,51247,USA,nan,Hernandez,Marta,Medium,282487891447526.6,2012,January
10299,23,100.0,9,2.071559030187552e+27,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,nan,Helsinki,nan,21240,Finland,EMEA,Karttunen,Matti,Small,45514382673914.76,2013,January
10309,41,100.0,5,1.3905316406992656e+29,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,nan,Stavern,nan,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,372898329400825.5,2014,January
10318,46,94.74,1,1.3011569823016062e+29,11/2/2004 0:00,Shipped,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,nan,Allentown,PA,70267,USA,nan,Yu,Kyung,Medium,360715536441335.75,2015,January
10329,42,100.0,1,1.3949932832315529e+29,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,nan,NYC,NY,10022,USA,nan,Yu,Kwai,Medium,373496088765538.9,2015,January
10341,41,100.0,9,1.285281844861473e+31,11/24/2004 0:00,Shipped,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,nan,Salzburg,nan,5020,Austria,EMEA,Pipps,Georg,Large,3585082767331143.5,2015,January
10361,20,72.55,13,1.9648947827677965e+25,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,4432713370801.0,2016,January
10375,21,34.91,12,8.343593716796825e+22,2/3/2005 0:00,Shipped,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",nan,Nantes,nan,44000,France,EMEA,Labrune,Janine,Small,288852794980.3641,2007,January
10388,42,76.36,4,1.1192360264245795e+28,3/3/2005 0:00,Shipped,1,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,nan,New Bedford,MA,50553,USA,nan,Benitez,Violeta,Medium,105793951926590.75,2008,January
10403,24,100.0,7,1.234138378612206e+27,4/8/2005 0:00,Shipped,2,4,2005,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,nan,Liverpool,nan,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,35130305700523.105,2009,January
10417,66,100.0,2,1.0184299255265034e+31,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",nan,Madrid,nan,28034,Spain,EMEA,Freyre,Diego,Large,3191284890959288.0,2010,January
10103,26,100.0,11,7.279831248608444e+29,1/29/2003 0:00,Shipped,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,nan,Stavern,nan,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,853219271266680.0,2004,January
10112,29,100.0,1,7.295469026270473e+30,3/24/2003 0:00,Shipped,1,3,2003,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,nan,Lule,nan,S-958 22,Sweden,EMEA,Berglund,Christina,Large,2701012592764142.0,2006,January
10126,38,100.0,11,8.325037851337316e+30,5/28/2003 0:00,Shipped,2,5,2003,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",nan,Madrid,nan,28023,Spain,EMEA,Sommer,Mart¡n,Large,2885314168567665.0,2008,January
10140,37,100.0,11,8.743235617264668e+30,7/24/2003 0:00,Shipped,3,7,2003,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,nan,Burlingame,CA,94217,USA,nan,Hirano,Juri,Large,2956896281113808.0,2010,January
10150,45,100.0,8,2.1334764138968828e+32,9/19/2003 0:00,Shipped,3,9,2003,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",nan,Singapore,nan,79903,Singapore,Japan,Natividad,Eric,Large,1.4606424661418286e+16,2012,January
10163,21,100.0,1,3.113592145311095e+29,10/20/2003 0:00,Shipped,4,10,2003,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,nan,Hernandez,Maria,Medium,557995711928962.3,2013,January
10174,34,100.0,4,1.7027472436678931e+31,11/6/2003 0:00,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,nan,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large,4126435803048307.5,2014,January
10183,23,100.0,8,6.941553280811698e+29,11/13/2003 0:00,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,nan,Philadelphia,PA,71270,USA,nan,Cervantes,Francisca,Medium,833159845456542.5,2014,January
10194,42,100.0,11,7.979796119291444e+30,11/25/2003 0:00,Shipped,4,11,2003,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",nan,Lyon,nan,69004,France,EMEA,Saveley,Mary,Large,2824853291640372.0,2014,January
